round,strategy,c_loss,c_accuracy,d_accuracy
63,FedAvgM,1.174923062324524,0.5869,0.5869
64,FedAvgM,1.164906178848653,0.5897,0.5897
65,FedAvgM,1.1554641640639003,0.5912,0.5912
66,FedAvgM,1.1606640823279757,0.5911,0.5911
67,FedAvgM,1.1591499825067155,0.5857,0.5857
68,FedAvgM,1.1693126793149151,0.5892,0.5892
69,FedAvgM,1.173181730735151,0.586,0.586
70,FedAvgM,1.151714118221138,0.5949,0.5949
71,FedAvgM,1.143524486052839,0.5995,0.5995
72,FedAvgM,1.1486022834536396,0.5963,0.5963
73,FedAvgM,1.1499083389209797,0.5925,0.5925
74,FedAvgM,1.1443211994593656,0.5985,0.5985
75,FedAvgM,1.14436260129832,0.5924,0.5924
76,FedAvgM,1.148208962211126,0.5944,0.5944000000000002
77,FedAvgM,1.1645570533185066,0.5928,0.5928
78,FedAvgM,1.1600469758238974,0.5906,0.5906
79,FedAvgM,1.1439327295822432,0.5961,0.5961
80,FedAvgM,1.1381691747073883,0.601,0.601
81,FedAvgM,1.1381535152845743,0.5975,0.5974999999999999
82,FedAvgM,1.1354695181303387,0.6011,0.6011
83,FedAvgM,1.1408160389224185,0.5991,0.5991
84,FedAvgM,1.1389883122866666,0.6002,0.6002
85,FedAvgM,1.1333314142649686,0.6015,0.6015
86,FedAvgM,1.1315511615970466,0.5984,0.5983999999999999
87,FedAvgM,1.1370335160931455,0.6015,0.6015
88,FedAvgM,1.1412006344976304,0.597,0.597
89,FedAvgM,1.1374806256233891,0.5998,0.5998
90,FedAvgM,1.1267946166328238,0.6018,0.6018
91,FedAvgM,1.1401900573621822,0.604,0.604
92,FedAvgM,1.1351593838462346,0.6016,0.6016
93,FedAvgM,1.1476198117944258,0.5981,0.5981
94,FedAvgM,1.1365648326994495,0.6035,0.6035
95,FedAvgM,1.1474649974062472,0.599,0.599
96,FedAvgM,1.1301322036151644,0.603,0.603
97,FedAvgM,1.1426829906958569,0.6005,0.6005
98,FedAvgM,1.1325957677032374,0.6037,0.6037
99,FedAvgM,1.1305899288080916,0.6023,0.6023000000000001
100,FedAvgM,1.1382627607900886,0.6036,0.6036
1,QFedAvg,2.293598344054403,0.1026,0.1026
2,QFedAvg,2.262153003789201,0.1809,0.1809
3,QFedAvg,2.1409065693239624,0.2398,0.2398
4,QFedAvg,2.031135291992864,0.2677,0.2677
5,QFedAvg,1.951122798497164,0.3013,0.3013
6,QFedAvg,1.8689795898485788,0.3297,0.3296999999999999
7,QFedAvg,1.7941040872018548,0.3522,0.3522
8,QFedAvg,1.775100658211527,0.3633,0.3633
9,QFedAvg,1.7350336584863784,0.3746,0.3746
10,QFedAvg,1.675670199756381,0.3885,0.3885
11,QFedAvg,1.6489129021197937,0.4021,0.4021
12,QFedAvg,1.616836683659614,0.4151,0.4151
13,QFedAvg,1.5917859726314303,0.4161,0.4161000000000001
14,QFedAvg,1.5831531074982654,0.4265,0.4265
15,QFedAvg,1.566737793668916,0.4209,0.4209
16,QFedAvg,1.5380509382561791,0.436,0.436
17,QFedAvg,1.514400835278668,0.4447,0.4447
18,QFedAvg,1.5013947637775276,0.4509,0.4509
19,QFedAvg,1.490905731539183,0.4556,0.4556
20,QFedAvg,1.4849771925165682,0.4578,0.4578
21,QFedAvg,1.4595897967302347,0.4657,0.4657
22,QFedAvg,1.4506571836109403,0.4713,0.4713
23,QFedAvg,1.452140501782864,0.4705,0.4705
24,QFedAvg,1.4291979542261437,0.4829,0.4829
25,QFedAvg,1.4201587408403806,0.4763,0.4763
26,QFedAvg,1.411679510828815,0.4864,0.4864
27,QFedAvg,1.413762023177328,0.4858,0.4857999999999999
28,QFedAvg,1.3942517193057868,0.4916,0.4916
29,QFedAvg,1.384386637542821,0.5032,0.5032
30,QFedAvg,1.3725412797324266,0.5099,0.5099
31,QFedAvg,1.353996654100056,0.5098,0.5098
32,QFedAvg,1.349851031846638,0.5112,0.5112
33,QFedAvg,1.3467141133320482,0.5133,0.5133
34,QFedAvg,1.3407508421547805,0.5186,0.5186
35,QFedAvg,1.3409362971028196,0.5227,0.5226999999999999
36,QFedAvg,1.314482703993592,0.5306,0.5305999999999998
37,QFedAvg,1.313409894327574,0.5322,0.5322
38,QFedAvg,1.312122634694546,0.5372,0.5372
39,QFedAvg,1.3014434108251258,0.5365,0.5365
40,QFedAvg,1.2903754680971555,0.5431,0.5431
41,QFedAvg,1.2807786600499214,0.5435,0.5435
42,QFedAvg,1.2795780157741112,0.5424,0.5424
43,QFedAvg,1.284047067919864,0.5457,0.5457
44,QFedAvg,1.274353789377816,0.5513,0.5513
45,QFedAvg,1.267700109300734,0.548,0.548
46,QFedAvg,1.2695117977601065,0.549,0.549
