round,strategy,fl_scale,c_loss,c_accuracy,c_recall,c_precision,c_f1_score,d_accuracy,d_recall,d_precision,d_f1_score
7,FedAvg,0.25,1.1755710727051845,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.44800000000000006,0.37925925925925924,0.4255925925925926,0.3771904761904762
8,FedAvg,0.25,1.1699271239811861,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.592,0.513,0.562,0.5048614718614718
9,FedAvg,0.25,1.173132434675965,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.544,0.5096507936507936,0.5252592592592593,0.47952429052429046
10,FedAvg,0.25,1.1750210523605347,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.6079999999999999,0.584994708994709,0.594962962962963,0.5479903799903799
11,FedAvg,0.25,1.1761958863161788,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.528,0.5304814814814814,0.5437037037037037,0.4931305114638448
12,FedAvg,0.25,1.1758787526360042,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.552,0.5961904761904763,0.5506666666666666,0.5145772005772005
13,FedAvg,0.25,1.1701558526558211,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.504,0.4746666666666666,0.493,0.44408802308802303
14,FedAvg,0.25,1.171650386309322,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.5680000000000001,0.561,0.554,0.51894227994228
15,FedAvg,0.25,1.1754972595202773,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.6080000000000001,0.6293333333333333,0.5886666666666667,0.5705310245310246
16,FedAvg,0.25,1.1783816399453562,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.52,0.468068783068783,0.47892592592592587,0.43811965811965814
17,FedAvg,0.25,1.1786390361906607,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.5840000000000001,0.6119417989417989,0.5522592592592591,0.5414126984126983
18,FedAvg,0.25,1.171018975444987,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.5760000000000001,0.521,0.5286666666666667,0.48989466089466094
19,FedAvg,0.25,1.173903049547461,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.488,0.4096666666666667,0.46099999999999997,0.40823809523809523
20,FedAvg,0.25,1.1792062219185164,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.528,0.522,0.5106666666666667,0.4786724386724387
21,FedAvg,0.25,1.1675230679632742,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.5760000000000001,0.5796666666666667,0.5493333333333332,0.517038961038961
22,FedAvg,0.25,1.1782550479792342,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.504,0.4633333333333334,0.5010000000000001,0.44192496392496394
23,FedAvg,0.25,1.1708958103686948,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.488,0.4675767195767196,0.4854074074074074,0.43527176527176525
24,FedAvg,0.25,1.173851732966266,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.552,0.517,0.5016666666666667,0.48279365079365083
25,FedAvg,0.25,1.1774241094347797,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.528,0.4802857142857143,0.45666666666666667,0.43547619047619046
26,FedAvg,0.25,1.1725250127949292,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.5680000000000001,0.5538809523809524,0.5489999999999999,0.4978766788766789
27,FedAvg,0.25,1.1736852232413957,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.544,0.5477857142857142,0.5193333333333333,0.4935555555555555
28,FedAvg,0.25,1.1695216554629653,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.52,0.5075555555555555,0.49025925925925923,0.4601842231842232
29,FedAvg,0.25,1.1708438720884202,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.56,0.5187037037037037,0.537074074074074,0.496904761904762
30,FedAvg,0.25,1.1718873638141005,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.5920000000000001,0.5471481481481482,0.5477407407407408,0.5184583934583934
31,FedAvg,0.25,1.1776126826865763,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.608,0.6107619047619048,0.605,0.5742063492063492
32,FedAvg,0.25,1.170760400687592,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.5599999999999999,0.5163703703703704,0.5080370370370371,0.47651322751322744
33,FedAvg,0.25,1.1712099381639987,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.608,0.623,0.6216666666666667,0.5729206349206348
34,FedAvg,0.25,1.1722728813750833,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.52,0.4917407407407407,0.5027407407407407,0.4578698462031795
35,FedAvg,0.25,1.1756447583814211,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.52,0.5050000000000001,0.502,0.4703246753246753
36,FedAvg,0.25,1.1718758865247798,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.52,0.5078148148148148,0.5114444444444445,0.4623756613756614
37,FedAvg,0.25,1.1791149672073653,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.488,0.458,0.43266666666666664,0.4193217893217893
38,FedAvg,0.25,1.1755888695958294,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.544,0.5288148148148147,0.5211111111111111,0.4784734648067982
39,FedAvg,0.25,1.1716853968704803,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.52,0.5203809523809524,0.5263333333333333,0.4774285714285714
40,FedAvg,0.25,1.1714563181128683,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.48,0.4051957671957672,0.4497037037037036,0.3938359788359788
41,FedAvg,0.25,1.1808538934852504,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.5680000000000001,0.5616666666666666,0.554,0.5237936507936507
42,FedAvg,0.25,1.1728375554084778,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.512,0.4757037037037037,0.5162592592592592,0.45316883116883117
43,FedAvg,0.25,1.1761954690836653,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.552,0.5596243386243387,0.5344074074074074,0.508403608736942
